2003GL017969-TableS3_1.txt

Table S3.1 Retrieved column abundances of CH4, HF, O2 (molecules cm(-2)), b (unitless), and calculated tropospheric CH4 VMR.

Date		CH4_column	O2_column	HF_column	b		CH4_trop_VMR
5/5/1991	2.84e+19	3.64e+24	8.44e+14	-1007		1.68e-06
12/13/1991	2.88e+19	3.63e+24	7.34e+14	-972		1.71e-06
12/14/1991	2.85e+19	3.57e+24	7.39e+14	-972		1.71e-06
1/13/1992	2.84e+19	3.61e+24	8.13e+14	-968		1.70e-06
1/14/1992	2.82e+19	3.57e+24	9.12e+14	-967		1.71e-06
5/3/1992	2.88e+19	3.65e+24	6.07e+14	-951		1.69e-06
5/4/1992	2.86e+19	3.64e+24	6.62e+14	-950		1.68e-06
5/5/1992	2.82e+19	3.57e+24	8.07e+14	-950		1.70e-06
8/31/1992	2.88e+19	3.65e+24	6.16e+14	-932		1.68e-06

